word,level,word_url,word_class
amendment,c1,https://www.oxfordlearnersdictionaries.com/definition/english/amendment,noun
amid,c1,https://www.oxfordlearnersdictionaries.com/definition/english/amid,preposition
among,a2,https://www.oxfordlearnersdictionaries.com/definition/english/among,preposition
amount,a2,https://www.oxfordlearnersdictionaries.com/definition/english/amount_1,noun
amount,b2,https://www.oxfordlearnersdictionaries.com/definition/english/amount_2,verb
amusing,b2,https://www.oxfordlearnersdictionaries.com/definition/english/amusing,adjective
analogy,c1,https://www.oxfordlearnersdictionaries.com/definition/english/analogy,noun
analyse,b1,https://www.oxfordlearnersdictionaries.com/definition/english/analyse,verb
analysis,b1,https://www.oxfordlearnersdictionaries.com/definition/english/analysis,noun
analyst,b2,https://www.oxfordlearnersdictionaries.com/definition/english/analyst,noun
ancestor,b2,https://www.oxfordlearnersdictionaries.com/definition/english/ancestor,noun
anchor,c1,https://www.oxfordlearnersdictionaries.com/definition/english/anchor_1,noun
ancient,a2,https://www.oxfordlearnersdictionaries.com/definition/english/ancient,adjective
and,a1,https://www.oxfordlearnersdictionaries.com/definition/english/and,conjunction
angel,c1,https://www.oxfordlearnersdictionaries.com/definition/english/angel,noun
anger,b2,https://www.oxfordlearnersdictionaries.com/definition/english/anger_1,noun
angle,b2,https://www.oxfordlearnersdictionaries.com/definition/english/angle_1,noun
angrily,,https://www.oxfordlearnersdictionaries.com/definition/english/angle_1,noun
angry,a1,https://www.oxfordlearnersdictionaries.com/definition/english/angry,adjective
animal,a1,https://www.oxfordlearnersdictionaries.com/definition/english/animal_1,noun
animation,b2,https://www.oxfordlearnersdictionaries.com/definition/english/animation,noun
ankle,a2,https://www.oxfordlearnersdictionaries.com/definition/english/ankle,noun
anniversary,b2,https://www.oxfordlearnersdictionaries.com/definition/english/anniversary,noun
announce,b1,https://www.oxfordlearnersdictionaries.com/definition/english/announce,verb
announcement,b1,https://www.oxfordlearnersdictionaries.com/definition/english/announcement,noun
annoy,b1,https://www.oxfordlearnersdictionaries.com/definition/english/annoy,verb
annoyed,b1,https://www.oxfordlearnersdictionaries.com/definition/english/annoyed,adjective
annoying,b1,https://www.oxfordlearnersdictionaries.com/definition/english/annoying,adjective
annual,b2,https://www.oxfordlearnersdictionaries.com/definition/english/annual_1,adjective
annually,b2,https://www.oxfordlearnersdictionaries.com/definition/english/annually,adverb
anonymous,c1,https://www.oxfordlearnersdictionaries.com/definition/english/anonymous,adjective
another,a1,https://www.oxfordlearnersdictionaries.com/definition/english/another,determiner
another,a1,https://www.oxfordlearnersdictionaries.com/definition/english/another,pronoun
answer,a1,https://www.oxfordlearnersdictionaries.com/definition/english/answer_1,noun
answer,a1,https://www.oxfordlearnersdictionaries.com/definition/english/answer_2,verb
anticipate,b2,https://www.oxfordlearnersdictionaries.com/definition/english/anticipate,verb
anxiety,b2,https://www.oxfordlearnersdictionaries.com/definition/english/anxiety,noun
anxious,b2,https://www.oxfordlearnersdictionaries.com/definition/english/anxious,adjective
any,a2,https://www.oxfordlearnersdictionaries.com/definition/english/any_3,adverb
any,a1,https://www.oxfordlearnersdictionaries.com/definition/english/any_1,determiner
any,a1,https://www.oxfordlearnersdictionaries.com/definition/english/any_2,pronoun
any more,a2,https://www.oxfordlearnersdictionaries.com/definition/english/any-more,adverb
anybody,a2,https://www.oxfordlearnersdictionaries.com/definition/english/anybody,pronoun
anyone,a1,https://www.oxfordlearnersdictionaries.com/definition/english/anyone,pronoun
anything,a1,https://www.oxfordlearnersdictionaries.com/definition/english/anything,pronoun
anyway,a2,https://www.oxfordlearnersdictionaries.com/definition/english/anyway,adverb
anywhere,a2,https://www.oxfordlearnersdictionaries.com/definition/english/anywhere_1,adverb
anywhere,a2,https://www.oxfordlearnersdictionaries.com/definition/english/anywhere_2,pronoun
apart,b1,https://www.oxfordlearnersdictionaries.com/definition/english/apart,adverb
apartment,a1,https://www.oxfordlearnersdictionaries.com/definition/english/apartment,noun
apologize,b1,https://www.oxfordlearnersdictionaries.com/definition/english/apologize,verb
apology,b2,https://www.oxfordlearnersdictionaries.com/definition/english/apology,noun
app,a2,https://www.oxfordlearnersdictionaries.com/definition/english/app,noun
apparatus,c1,https://www.oxfordlearnersdictionaries.com/definition/english/apparatus,noun
apparent,b2,https://www.oxfordlearnersdictionaries.com/definition/english/apparent,adjective
apparently,b2,https://www.oxfordlearnersdictionaries.com/definition/english/apparently,adverb
appeal,b2,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_1,noun
appeal,b2,https://www.oxfordlearnersdictionaries.com/definition/english/appeal_2,verb
appealing,c1,https://www.oxfordlearnersdictionaries.com/definition/english/appealing,adjective
appear,a2,https://www.oxfordlearnersdictionaries.com/definition/english/appear,verb
appearance,a2,https://www.oxfordlearnersdictionaries.com/definition/english/appearance,noun
appetite,c1,https://www.oxfordlearnersdictionaries.com/definition/english/appetite,noun
applaud,c1,https://www.oxfordlearnersdictionaries.com/definition/english/applaud,verb
apple,a1,https://www.oxfordlearnersdictionaries.com/definition/english/apple,noun
applicable,c1,https://www.oxfordlearnersdictionaries.com/definition/english/applicable,adjective
